REAL	TEST	0	0
0	0	-1	-1	
2	2	0	0	
0	2	-1	1	
2	0	0	0	
0	0	-1	-1	
2	2	0	0	
0	2	-1	1	
0	2	-2	2	
4	2	-2	3	
0	0	-3	2	
2	0	-2	1	
0	0	-3	0	
4	2	-3	1	
0	2	-4	2	
2	-1	-3	2	
0	2	-4	3	
2	0	-3	2	
0	2	-4	3	
2	2	-3	4	
0	2	-4	5	
2	0	-3	4	
0	2	-4	5	
2	2	-3	6	
0	2	-4	7	
2	2	-3	8	
0	2	-4	9	
0	2	-5	10	
0	2	-6	11	
0	-1	-7	11	
0	2	-8	12	
0	0	-9	11	
0	0	-10	10	
0	2	-11	11	
0	2	-12	12	
2	0	-11	11	
2	2	-10	12	
0	2	-11	13	
2	2	-10	14	
2	2	-9	15	
2	2	-8	16	
0	0	-9	15	
2	2	-8	16	
0	2	-9	17	
0	0	-10	16	
0	2	-11	17	
4	-1	-11	17	
0	0	-12	16	
0	2	-13	17	
2	0	-12	16	
0	2	-13	17	
0	2	-14	18	
2	2	-13	19	
2	2	-12	20	
2	2	-11	21	
0	0	-12	20	
0	0	-13	19	
2	2	-12	20	
0	-1	-13	20	
0	2	-14	21	
2	2	-13	22	
0	0	-14	21	
2	2	-13	22	
2	2	-12	23	
2	-1	-11	23	
0	2	-12	24	
0	0	-13	23	
2	0	-12	22	
2	2	-11	23	
0	0	-12	22	
0	0	-13	21	
0	0	-14	20	
2	-1	-13	20	
0	2	-14	21	
0	2	-15	22	
0	0	-16	21	
0	0	-17	20	
0	2	-18	21	
0	2	-19	22	
2	2	-18	23	
0	0	-19	22	
2	0	-18	21	
2	2	-17	22	
2	2	-16	23	
2	2	-15	24	
0	0	-16	23	
2	2	-15	24	
2	2	-14	25	
2	0	-13	24	
0	2	-14	25	
2	2	-13	26	
0	2	-14	27	
0	-1	-15	27	
2	2	-14	28	
0	2	-15	29	
2	2	-14	30	
0	-1	-15	30	
2	2	-14	31	
0	2	-15	32	
2	0	-14	31	
0	2	-15	32	
0	2	-16	33	
2	0	-15	32	
0	2	-16	33	
0	2	-17	34	
2	2	-16	35	
0	0	-17	34	
0	2	-18	35	
2	0	-17	34	
2	2	-16	35	
2	-1	-15	35	
2	2	-14	36	
0	0	-15	35	
0	2	-16	36	
2	2	-15	37	
2	0	-14	36	
0	0	-15	35	
2	2	-14	36	
0	0	-15	35	
2	2	-14	36	
2	-1	-13	36	
2	0	-12	35	
4	2	-12	36	
0	2	-13	37	
0	-1	-14	37	
0	2	-15	38	
0	2	-16	39	
0	-1	-17	39	
2	0	-16	38	
0	0	-17	37	
2	2	-16	38	
2	2	-15	39	
2	2	-14	40	
2	2	-13	41	
0	2	-14	42	
2	0	-13	41	
0	2	-14	42	
2	0	-13	41	
0	2	-14	42	
0	2	-15	43	
0	2	-16	44	
2	2	-15	45	
2	2	-14	46	
0	0	-15	45	
0	0	-16	44	
2	2	-15	45	
2	2	-14	46	
2	2	-13	47	
2	2	-12	48	
2	0	-11	47	
2	0	-10	46	
2	2	-9	47	
0	2	-10	48	
2	0	-9	47	
2	0	-8	46	
2	0	-7	45	
0	2	-8	46	
0	2	-9	47	
2	2	-8	48	
0	2	-9	49	
2	0	-8	48	
2	0	-7	47	
2	0	-6	46	
0	2	-7	47	
2	0	-6	46	
2	2	-5	47	
0	0	-6	46	
0	-1	-7	46	
2	-1	-6	46	
0	2	-7	47	
4	2	-7	48	
0	2	-8	49	
2	2	-7	50	
0	2	-8	51	
2	-1	-7	51	
2	2	-6	52	
2	2	-5	53	
2	2	-4	54	
2	2	-3	55	
0	2	-4	56	
2	2	-3	57	
2	2	-2	58	
0	2	-3	59	
2	2	-2	60	
0	0	-3	59	
2	2	-2	60	
0	2	-3	61	
2	0	-2	60	
2	2	-1	61	
2	2	0	62	
2	2	1	63	
2	2	2	64	
2	2	3	65	
2	2	4	66	
2	0	5	65	
0	0	4	64	
2	2	5	65	
2	2	6	66	
2	2	7	67	
2	2	8	68	
2	-1	9	68	
2	2	10	69	
0	2	9	70	
0	0	8	69	
0	0	7	68	
2	2	8	69	
0	0	7	68	
0	0	6	67	
0	2	5	68	
2	2	6	69	
0	2	5	70	
2	2	6	71	
2	2	7	72	
2	2	8	73	
0	2	7	74	
2	2	8	75	
0	0	7	74	
0	2	6	75	
0	0	5	74	
2	-1	6	74	
0	2	5	75	
0	0	4	74	
2	2	5	75	
2	2	6	76	
0	2	5	77	
0	0	4	76	
0	2	3	77	
2	2	4	78	
0	0	3	77	
0	2	2	78	
2	2	3	79	
0	2	2	80	
0	0	1	79	
0	2	0	80	
2	0	1	79	
2	0	2	78	
2	0	3	77	
2	2	4	78	
4	2	4	79	
0	2	3	80	
2	0	4	79	
0	2	3	80	
2	-1	4	80	
0	0	3	79	
2	0	4	78	
0	2	3	79	
0	0	2	78	
0	2	1	79	
0	2	0	80	
2	2	1	81	
2	2	2	82	
0	2	1	83	
2	2	2	84	
0	2	1	85	
2	2	2	86	
2	2	3	87	
2	0	4	86	
2	2	5	87	
2	0	6	86	
0	2	5	87	
2	2	6	88	
2	2	7	89	
2	0	8	88	
0	0	7	87	
0	2	6	88	
0	2	5	89	
0	2	4	90	
2	2	5	91	
2	-1	6	91	
2	2	7	92	
4	2	7	93	
