REAL	TEST	0	0
0	2	-1	1	
2	2	0	2	
0	2	-1	3	
2	2	0	4	
0	2	-1	5	
2	2	0	6	
0	0	-1	5	
0	2	-2	6	
4	2	-2	7	
0	2	-3	8	
2	2	-2	9	
0	2	-3	10	
4	2	-3	11	
0	2	-4	12	
2	2	-3	13	
0	-1	-4	13	
2	2	-3	14	
0	0	-4	13	
2	2	-3	14	
0	0	-4	13	
2	2	-3	14	
0	2	-4	15	
2	2	-3	16	
0	2	-4	17	
2	2	-3	18	
0	0	-4	17	
0	2	-5	18	
0	2	-6	19	
0	2	-7	20	
0	2	-8	21	
0	2	-9	22	
0	2	-10	23	
0	2	-11	24	
0	2	-12	25	
2	2	-11	26	
2	2	-10	27	
0	2	-11	28	
2	2	-10	29	
2	0	-9	28	
2	0	-8	27	
0	0	-9	26	
2	0	-8	25	
0	0	-9	24	
0	0	-10	23	
0	0	-11	22	
4	2	-11	23	
0	2	-12	24	
0	2	-13	25	
2	2	-12	26	
0	2	-13	27	
0	2	-14	28	
2	2	-13	29	
2	2	-12	30	
2	0	-11	29	
0	0	-12	28	
0	0	-13	27	
2	2	-12	28	
0	2	-13	29	
0	2	-14	30	
2	2	-13	31	
0	2	-14	32	
2	2	-13	33	
2	2	-12	34	
2	-1	-11	34	
0	0	-12	33	
0	0	-13	32	
2	0	-12	31	
2	-1	-11	31	
0	0	-12	30	
0	0	-13	29	
0	2	-14	30	
2	2	-13	31	
0	2	-14	32	
0	2	-15	33	
0	2	-16	34	
0	2	-17	35	
0	2	-18	36	
0	2	-19	37	
2	2	-18	38	
0	2	-19	39	
2	2	-18	40	
2	2	-17	41	
2	0	-16	40	
2	0	-15	39	
0	0	-16	38	
2	0	-15	37	
2	0	-14	36	
2	0	-13	35	
0	0	-14	34	
2	0	-13	33	
0	0	-14	32	
0	0	-15	31	
2	2	-14	32	
0	2	-15	33	
2	2	-14	34	
0	0	-15	33	
2	2	-14	34	
0	0	-15	33	
2	2	-14	34	
0	-1	-15	34	
0	2	-16	35	
2	2	-15	36	
0	2	-16	37	
0	2	-17	38	
2	2	-16	39	
0	2	-17	40	
0	2	-18	41	
2	2	-17	42	
2	2	-16	43	
2	2	-15	44	
2	0	-14	43	
0	0	-15	42	
0	0	-16	41	
2	2	-15	42	
2	-1	-14	42	
0	0	-15	41	
2	-1	-14	41	
0	-1	-15	41	
2	2	-14	42	
2	-1	-13	42	
2	-1	-12	42	
4	0	-12	41	
0	0	-13	40	
0	0	-14	39	
0	2	-15	40	
0	2	-16	41	
0	2	-17	42	
2	2	-16	43	
0	2	-17	44	
2	2	-16	45	
2	0	-15	44	
2	0	-14	43	
2	0	-13	42	
0	0	-14	41	
2	0	-13	40	
0	0	-14	39	
2	2	-13	40	
0	0	-14	39	
0	-1	-15	39	
0	0	-16	38	
2	2	-15	39	
2	2	-14	40	
0	2	-15	41	
0	2	-16	42	
2	2	-15	43	
2	2	-14	44	
2	2	-13	45	
2	0	-12	44	
2	0	-11	43	
2	0	-10	42	
2	0	-9	41	
0	0	-10	40	
2	0	-9	39	
2	0	-8	38	
2	0	-7	37	
0	0	-8	36	
0	0	-9	35	
2	-1	-8	35	
0	2	-9	36	
2	2	-8	37	
2	2	-7	38	
2	2	-6	39	
0	0	-7	38	
2	0	-6	37	
2	0	-5	36	
0	0	-6	35	
0	0	-7	34	
2	2	-6	35	
0	2	-7	36	
4	2	-7	37	
0	2	-8	38	
2	2	-7	39	
0	-1	-8	39	
2	2	-7	40	
2	0	-6	39	
2	0	-5	38	
2	0	-4	37	
2	0	-3	36	
0	0	-4	35	
2	0	-3	34	
2	0	-2	33	
0	0	-3	32	
2	0	-2	31	
0	0	-3	30	
2	0	-2	29	
0	0	-3	28	
2	0	-2	27	
2	0	-1	26	
2	0	0	25	
2	0	1	24	
2	0	2	23	
2	0	3	22	
2	0	4	21	
2	0	5	20	
0	0	4	19	
2	0	5	18	
2	0	6	17	
2	0	7	16	
2	0	8	15	
2	0	9	14	
2	0	10	13	
0	0	9	12	
0	0	8	11	
0	2	7	12	
2	2	8	13	
0	2	7	14	
0	2	6	15	
0	2	5	16	
2	2	6	17	
0	2	5	18	
2	2	6	19	
2	2	7	20	
2	2	8	21	
0	0	7	20	
2	0	8	19	
0	0	7	18	
0	0	6	17	
0	2	5	18	
2	2	6	19	
0	2	5	20	
0	2	4	21	
2	2	5	22	
2	2	6	23	
0	0	5	22	
0	0	4	21	
0	2	3	22	
2	2	4	23	
0	2	3	24	
0	2	2	25	
2	2	3	26	
0	2	2	27	
0	2	1	28	
0	2	0	29	
2	2	1	30	
2	2	2	31	
2	0	3	30	
2	0	4	29	
4	0	4	28	
0	0	3	27	
2	0	4	26	
0	0	3	25	
2	0	4	24	
0	0	3	23	
2	0	4	22	
0	0	3	21	
0	-1	2	21	
0	0	1	20	
0	2	0	21	
2	2	1	22	
2	2	2	23	
0	2	1	24	
2	-1	2	24	
0	0	1	23	
2	0	2	22	
2	0	3	21	
2	0	4	20	
2	0	5	19	
2	0	6	18	
0	0	5	17	
2	0	6	16	
2	0	7	15	
2	0	8	14	
0	0	7	13	
0	0	6	12	
0	2	5	13	
0	2	4	14	
2	2	5	15	
2	2	6	16	
2	0	7	15	
4	0	7	14	
