REAL	TEST	0	0
0	2	-1	1	
2	-1	0	1	
0	0	-1	0	
2	0	0	-1	
0	0	-1	-2	
2	2	0	-1	
0	2	-1	0	
0	2	-2	1	
4	0	-2	0	
0	0	-3	-1	
2	-1	-2	-1	
0	2	-3	0	
4	2	-3	1	
0	2	-4	2	
2	0	-3	1	
0	2	-4	2	
2	0	-3	1	
0	2	-4	2	
2	2	-3	3	
0	2	-4	4	
2	2	-3	5	
0	0	-4	4	
2	0	-3	3	
0	0	-4	2	
2	2	-3	3	
0	0	-4	2	
0	2	-5	3	
0	0	-6	2	
0	-1	-7	2	
0	0	-8	1	
0	2	-9	2	
0	0	-10	1	
0	2	-11	2	
0	0	-12	1	
2	2	-11	2	
2	0	-10	1	
0	2	-11	2	
2	2	-10	3	
2	2	-9	4	
2	2	-8	5	
0	0	-9	4	
2	0	-8	3	
0	0	-9	2	
0	0	-10	1	
0	0	-11	0	
4	0	-11	-1	
0	0	-12	-2	
0	2	-13	-1	
2	-1	-12	-1	
0	2	-13	0	
0	2	-14	1	
2	2	-13	2	
2	-1	-12	2	
2	2	-11	3	
0	-1	-12	3	
0	-1	-13	3	
2	0	-12	2	
0	2	-13	3	
0	0	-14	2	
2	0	-13	1	
0	0	-14	0	
2	0	-13	-1	
2	2	-12	0	
2	2	-11	1	
0	0	-12	0	
0	2	-13	1	
2	0	-12	0	
2	0	-11	-1	
0	2	-12	0	
0	0	-13	-1	
0	0	-14	-2	
2	2	-13	-1	
0	0	-14	-2	
0	2	-15	-1	
0	0	-16	-2	
0	0	-17	-3	
0	2	-18	-2	
0	2	-19	-1	
2	2	-18	0	
0	0	-19	-1	
2	2	-18	0	
2	2	-17	1	
2	2	-16	2	
2	-1	-15	2	
0	0	-16	1	
2	0	-15	0	
2	0	-14	-1	
2	0	-13	-2	
0	0	-14	-3	
2	0	-13	-4	
0	0	-14	-5	
0	0	-15	-6	
2	2	-14	-5	
0	0	-15	-6	
2	0	-14	-7	
0	2	-15	-6	
2	2	-14	-5	
0	2	-15	-4	
2	2	-14	-3	
0	0	-15	-4	
0	-1	-16	-4	
2	2	-15	-3	
0	-1	-16	-3	
0	2	-17	-2	
2	2	-16	-1	
0	0	-17	-2	
0	2	-18	-1	
2	0	-17	-2	
2	2	-16	-1	
2	0	-15	-2	
2	2	-14	-1	
0	2	-15	0	
0	0	-16	-1	
2	2	-15	0	
2	0	-14	-1	
0	0	-15	-2	
2	2	-14	-1	
0	0	-15	-2	
2	-1	-14	-2	
2	2	-13	-1	
2	0	-12	-2	
4	0	-12	-3	
0	2	-13	-2	
0	2	-14	-1	
0	-1	-15	-1	
0	0	-16	-2	
0	0	-17	-3	
2	0	-16	-4	
0	2	-17	-3	
2	2	-16	-2	
2	2	-15	-1	
2	2	-14	0	
2	-1	-13	0	
0	2	-14	1	
2	2	-13	2	
0	0	-14	1	
2	0	-13	0	
0	0	-14	-1	
0	0	-15	-2	
0	0	-16	-3	
2	0	-15	-4	
2	0	-14	-5	
0	2	-15	-4	
0	0	-16	-5	
2	2	-15	-4	
2	0	-14	-5	
2	2	-13	-4	
2	0	-12	-5	
2	0	-11	-6	
2	0	-10	-7	
2	2	-9	-6	
0	2	-10	-5	
2	0	-9	-6	
2	0	-8	-7	
2	0	-7	-8	
0	0	-8	-9	
0	2	-9	-8	
2	0	-8	-9	
0	0	-9	-10	
2	2	-8	-9	
2	0	-7	-10	
2	0	-6	-11	
0	2	-7	-10	
2	2	-6	-9	
2	2	-5	-8	
0	0	-6	-9	
0	0	-7	-10	
2	2	-6	-9	
0	0	-7	-10	
4	2	-7	-9	
0	0	-8	-10	
2	2	-7	-9	
0	0	-8	-10	
2	2	-7	-9	
2	-1	-6	-9	
2	2	-5	-8	
2	2	-4	-7	
2	-1	-3	-7	
0	0	-4	-8	
2	2	-3	-7	
2	0	-2	-8	
0	0	-3	-9	
2	0	-2	-10	
0	2	-3	-9	
2	0	-2	-10	
0	-1	-3	-10	
2	2	-2	-9	
2	0	-1	-10	
2	2	0	-9	
2	2	1	-8	
2	2	2	-7	
2	2	3	-6	
2	2	4	-5	
2	0	5	-6	
0	2	4	-5	
2	0	5	-6	
2	2	6	-5	
2	0	7	-6	
2	2	8	-5	
2	2	9	-4	
2	0	10	-5	
0	2	9	-4	
0	2	8	-3	
0	0	7	-4	
2	0	8	-5	
0	2	7	-4	
0	-1	6	-4	
0	2	5	-3	
2	2	6	-2	
0	-1	5	-2	
2	2	6	-1	
2	2	7	0	
2	-1	8	0	
0	2	7	1	
2	2	8	2	
0	0	7	1	
0	0	6	0	
0	0	5	-1	
2	0	6	-2	
0	0	5	-3	
0	2	4	-2	
2	0	5	-3	
2	0	6	-4	
0	2	5	-3	
0	2	4	-2	
0	0	3	-3	
2	2	4	-2	
0	0	3	-3	
0	2	2	-2	
2	0	3	-3	
0	0	2	-4	
0	2	1	-3	
0	2	0	-2	
2	-1	1	-2	
2	0	2	-3	
2	2	3	-2	
2	2	4	-1	
4	-1	4	-1	
0	0	3	-2	
2	2	4	-1	
0	0	3	-2	
2	2	4	-1	
0	0	3	-2	
2	0	4	-3	
0	-1	3	-3	
0	2	2	-2	
0	0	1	-3	
0	0	0	-4	
2	2	1	-3	
2	0	2	-4	
0	2	1	-3	
2	2	2	-2	
0	0	1	-3	
2	2	2	-2	
2	0	3	-3	
2	2	4	-2	
2	0	5	-3	
2	0	6	-4	
0	2	5	-3	
2	0	6	-4	
2	0	7	-5	
2	0	8	-6	
0	0	7	-7	
0	2	6	-6	
0	0	5	-7	
0	2	4	-6	
2	0	5	-7	
2	0	6	-8	
2	2	7	-7	
4	2	7	-6	
