REAL	TEST	0	0
0	0	-1	-1	
2	-1	0	-1	
0	0	-1	-2	
2	2	0	-1	
0	0	-1	-2	
2	2	0	-1	
0	-1	-1	-1	
0	-1	-2	-1	
4	0	-2	-2	
0	0	-3	-3	
2	2	-2	-2	
0	0	-3	-3	
4	-1	-3	-3	
0	0	-4	-4	
2	0	-3	-5	
0	-1	-4	-5	
2	2	-3	-4	
0	-1	-4	-4	
2	0	-3	-5	
0	-1	-4	-5	
2	2	-3	-4	
0	0	-4	-5	
2	0	-3	-6	
0	0	-4	-7	
2	0	-3	-8	
0	-1	-4	-8	
0	2	-5	-7	
0	2	-6	-6	
0	0	-7	-7	
0	2	-8	-6	
0	-1	-9	-6	
0	0	-10	-7	
0	0	-11	-8	
0	0	-12	-9	
2	0	-11	-10	
2	0	-10	-11	
0	0	-11	-12	
2	0	-10	-13	
2	0	-9	-14	
2	2	-8	-13	
0	2	-9	-12	
2	2	-8	-11	
0	0	-9	-12	
0	2	-10	-11	
0	2	-11	-10	
4	0	-11	-11	
0	0	-12	-12	
0	2	-13	-11	
2	0	-12	-12	
0	0	-13	-13	
0	2	-14	-12	
2	0	-13	-13	
2	0	-12	-14	
2	2	-11	-13	
0	0	-12	-14	
0	2	-13	-13	
2	2	-12	-12	
0	0	-13	-13	
0	2	-14	-12	
2	0	-13	-13	
0	0	-14	-14	
2	2	-13	-13	
2	0	-12	-14	
2	0	-11	-15	
0	2	-12	-14	
0	0	-13	-15	
2	-1	-12	-15	
2	0	-11	-16	
0	2	-12	-15	
0	2	-13	-14	
0	-1	-14	-14	
2	0	-13	-15	
0	0	-14	-16	
0	2	-15	-15	
0	0	-16	-16	
0	0	-17	-17	
0	0	-18	-18	
0	0	-19	-19	
2	0	-18	-20	
0	0	-19	-21	
2	2	-18	-20	
2	0	-17	-21	
2	0	-16	-22	
2	2	-15	-21	
0	2	-16	-20	
2	2	-15	-19	
2	0	-14	-20	
2	2	-13	-19	
0	2	-14	-18	
2	-1	-13	-18	
0	0	-14	-19	
0	2	-15	-18	
2	-1	-14	-18	
0	0	-15	-19	
2	2	-14	-18	
0	0	-15	-19	
2	2	-14	-18	
0	-1	-15	-18	
2	0	-14	-19	
0	2	-15	-18	
0	0	-16	-19	
2	-1	-15	-19	
0	0	-16	-20	
0	2	-17	-19	
2	0	-16	-20	
0	0	-17	-21	
0	2	-18	-20	
2	0	-17	-21	
2	0	-16	-22	
2	2	-15	-21	
2	2	-14	-20	
0	2	-15	-19	
0	2	-16	-18	
2	0	-15	-19	
2	0	-14	-20	
0	2	-15	-19	
2	2	-14	-18	
0	0	-15	-19	
2	2	-14	-18	
2	0	-13	-19	
2	0	-12	-20	
4	2	-12	-19	
0	0	-13	-20	
0	2	-14	-19	
0	0	-15	-20	
0	0	-16	-21	
0	0	-17	-22	
2	0	-16	-23	
0	0	-17	-24	
2	2	-16	-23	
2	0	-15	-24	
2	0	-14	-25	
2	2	-13	-24	
0	-1	-14	-24	
2	2	-13	-23	
0	0	-14	-24	
2	2	-13	-23	
0	2	-14	-22	
0	0	-15	-23	
0	2	-16	-22	
2	0	-15	-23	
2	0	-14	-24	
0	2	-15	-23	
0	2	-16	-22	
2	0	-15	-23	
2	0	-14	-24	
2	2	-13	-23	
2	2	-12	-22	
2	0	-11	-23	
2	2	-10	-22	
2	2	-9	-21	
0	0	-10	-22	
2	2	-9	-21	
2	0	-8	-22	
2	2	-7	-21	
0	2	-8	-20	
0	2	-9	-19	
2	2	-8	-18	
0	0	-9	-19	
2	2	-8	-18	
2	0	-7	-19	
2	0	-6	-20	
0	2	-7	-19	
2	2	-6	-18	
2	0	-5	-19	
0	-1	-6	-19	
0	2	-7	-18	
2	0	-6	-19	
0	0	-7	-20	
4	2	-7	-19	
0	0	-8	-20	
2	0	-7	-21	
0	2	-8	-20	
2	2	-7	-19	
2	0	-6	-20	
2	2	-5	-19	
2	2	-4	-18	
2	0	-3	-19	
0	2	-4	-18	
2	2	-3	-17	
2	0	-2	-18	
0	2	-3	-17	
2	2	-2	-16	
0	0	-3	-17	
2	2	-2	-16	
0	2	-3	-15	
2	2	-2	-14	
2	2	-1	-13	
2	0	0	-14	
2	2	1	-13	
2	2	2	-12	
2	2	3	-11	
2	2	4	-10	
2	2	5	-9	
0	-1	4	-9	
2	2	5	-8	
2	0	6	-9	
2	0	7	-10	
2	2	8	-9	
2	2	9	-8	
2	-1	10	-8	
0	2	9	-7	
0	2	8	-6	
0	0	7	-7	
2	0	8	-8	
0	0	7	-9	
0	2	6	-8	
0	0	5	-9	
2	0	6	-10	
0	0	5	-11	
2	-1	6	-11	
2	0	7	-12	
2	0	8	-13	
0	2	7	-12	
2	2	8	-11	
0	0	7	-12	
0	2	6	-11	
0	2	5	-10	
2	0	6	-11	
0	2	5	-10	
0	2	4	-9	
2	0	5	-10	
2	0	6	-11	
0	2	5	-10	
0	2	4	-9	
0	0	3	-10	
2	0	4	-11	
0	2	3	-10	
0	-1	2	-10	
2	-1	3	-10	
0	0	2	-11	
0	2	1	-10	
0	2	0	-9	
2	0	1	-10	
2	2	2	-9	
2	2	3	-8	
2	-1	4	-8	
4	-1	4	-8	
0	2	3	-7	
2	-1	4	-7	
0	0	3	-8	
2	2	4	-7	
0	0	3	-8	
2	2	4	-7	
0	2	3	-6	
0	0	2	-7	
0	2	1	-6	
0	0	0	-7	
2	0	1	-8	
2	0	2	-9	
0	0	1	-10	
2	2	2	-9	
