REAL	TEST	0	0
0	2	-1	1	
2	2	0	2	
0	2	-1	3	
2	2	0	4	
0	0	-1	3	
2	0	0	2	
0	2	-1	3	
0	2	-2	4	
4	2	-2	5	
0	2	-3	6	
2	0	-2	5	
0	0	-3	4	
4	2	-3	5	
0	2	-4	6	
2	2	-3	7	
0	2	-4	8	
2	0	-3	7	
0	0	-4	6	
2	2	-3	7	
0	2	-4	8	
2	2	-3	9	
0	0	-4	8	
2	2	-3	9	
0	0	-4	8	
2	2	-3	9	
0	0	-4	8	
0	2	-5	9	
0	2	-6	10	
0	2	-7	11	
0	0	-8	10	
0	2	-9	11	
0	2	-10	12	
0	2	-11	13	
0	2	-12	14	
2	2	-11	15	
2	0	-10	14	
0	-1	-11	14	
2	2	-10	15	
2	2	-9	16	
2	2	-8	17	
0	0	-9	16	
2	2	-8	17	
0	0	-9	16	
0	0	-10	15	
0	0	-11	14	
4	2	-11	15	
0	0	-12	14	
0	2	-13	15	
2	2	-12	16	
0	0	-13	15	
0	2	-14	16	
2	2	-13	17	
2	2	-12	18	
2	2	-11	19	
0	0	-12	18	
0	-1	-13	18	
2	2	-12	19	
0	2	-13	20	
0	2	-14	21	
2	0	-13	20	
0	0	-14	19	
2	2	-13	20	
2	2	-12	21	
2	0	-11	20	
0	0	-12	19	
0	2	-13	20	
2	2	-12	21	
2	2	-11	22	
0	0	-12	21	
0	0	-13	20	
0	0	-14	19	
2	2	-13	20	
0	2	-14	21	
0	2	-15	22	
0	2	-16	23	
0	2	-17	24	
0	2	-18	25	
0	2	-19	26	
2	2	-18	27	
0	2	-19	28	
2	2	-18	29	
2	2	-17	30	
2	-1	-16	30	
2	0	-15	29	
0	0	-16	28	
2	2	-15	29	
2	2	-14	30	
2	0	-13	29	
0	0	-14	28	
2	0	-13	27	
0	0	-14	26	
0	2	-15	27	
2	2	-14	28	
0	0	-15	27	
2	0	-14	26	
0	0	-15	25	
2	2	-14	26	
0	2	-15	27	
2	2	-14	28	
0	2	-15	29	
0	2	-16	30	
2	2	-15	31	
0	2	-16	32	
0	2	-17	33	
2	2	-16	34	
0	0	-17	33	
0	2	-18	34	
2	2	-17	35	
2	2	-16	36	
2	2	-15	37	
2	0	-14	36	
0	0	-15	35	
0	2	-16	36	
2	2	-15	37	
2	0	-14	36	
0	0	-15	35	
2	0	-14	34	
0	0	-15	33	
2	2	-14	34	
2	2	-13	35	
2	0	-12	34	
4	0	-12	33	
0	0	-13	32	
0	2	-14	33	
0	2	-15	34	
0	2	-16	35	
0	2	-17	36	
2	0	-16	35	
0	0	-17	34	
2	2	-16	35	
2	2	-15	36	
2	2	-14	37	
2	2	-13	38	
0	0	-14	37	
2	2	-13	38	
0	0	-14	37	
2	0	-13	36	
0	0	-14	35	
0	0	-15	34	
0	2	-16	35	
2	2	-15	36	
2	2	-14	37	
0	0	-15	36	
0	0	-16	35	
2	2	-15	36	
2	2	-14	37	
2	2	-13	38	
2	0	-12	37	
2	0	-11	36	
2	0	-10	35	
2	2	-9	36	
0	0	-10	35	
2	2	-9	36	
2	0	-8	35	
2	0	-7	34	
0	0	-8	33	
0	0	-9	32	
2	2	-8	33	
0	2	-9	34	
2	0	-8	33	
2	0	-7	32	
2	0	-6	31	
0	0	-7	30	
2	2	-6	31	
2	2	-5	32	
0	2	-6	33	
0	0	-7	32	
2	2	-6	33	
0	0	-7	32	
4	2	-7	33	
0	2	-8	34	
2	2	-7	35	
0	0	-8	34	
2	2	-7	35	
2	-1	-6	35	
2	2	-5	36	
2	0	-4	35	
2	0	-3	34	
0	0	-4	33	
2	2	-3	34	
2	0	-2	33	
0	0	-3	32	
2	0	-2	31	
0	0	-3	30	
2	0	-2	29	
0	0	-3	28	
2	0	-2	27	
2	0	-1	26	
2	0	0	25	
2	0	1	24	
2	0	2	23	
2	0	3	22	
2	2	4	23	
2	0	5	22	
0	0	4	21	
2	0	5	20	
2	0	6	19	
2	0	7	18	
2	0	8	17	
2	0	9	16	
2	0	10	15	
0	2	9	16	
0	2	8	17	
0	2	7	18	
2	0	8	17	
0	0	7	16	
0	0	6	15	
0	2	5	16	
2	2	6	17	
0	2	5	18	
2	2	6	19	
2	2	7	20	
2	-1	8	20	
0	0	7	19	
2	2	8	20	
0	0	7	19	
0	2	6	20	
0	2	5	21	
2	2	6	22	
0	0	5	21	
0	-1	4	21	
2	2	5	22	
2	2	6	23	
0	0	5	22	
0	2	4	23	
0	2	3	24	
2	2	4	25	
0	2	3	26	
0	0	2	25	
2	0	3	24	
0	0	2	23	
0	2	1	24	
0	2	0	25	
2	2	1	26	
2	0	2	25	
2	0	3	24	
2	0	4	23	
4	0	4	22	
0	2	3	23	
2	2	4	24	
0	0	3	23	
2	0	4	22	
0	0	3	21	
2	0	4	20	
0	0	3	19	
0	0	2	18	
0	2	1	19	
0	2	0	20	
2	2	1	21	
2	2	2	22	
0	0	1	21	
2	2	2	22	
0	2	1	23	
2	2	2	24	
2	2	3	25	
2	0	4	24	
2	0	5	23	
2	0	6	22	
0	0	5	21	
2	2	6	22	
2	0	7	21	
2	0	8	20	
0	0	7	19	
0	0	6	18	
0	2	5	19	
0	2	4	20	
2	2	5	21	
2	0	6	20	
2	0	7	19	
4	0	7	18	
