REAL	TEST	0	0
0	0	-1	-1	
2	2	0	0	
0	0	-1	-1	
2	2	0	0	
0	-1	-1	0	
2	2	0	1	
0	2	-1	2	
0	-1	-2	2	
4	2	-2	3	
0	0	-3	2	
2	2	-2	3	
0	2	-3	4	
4	2	-3	5	
0	-1	-4	5	
2	-1	-3	5	
0	2	-4	6	
2	2	-3	7	
0	-1	-4	7	
2	0	-3	6	
0	0	-4	5	
2	2	-3	6	
0	-1	-4	6	
2	2	-3	7	
0	-1	-4	7	
2	2	-3	8	
0	-1	-4	8	
0	2	-5	9	
0	2	-6	10	
0	0	-7	9	
0	2	-8	10	
0	2	-9	11	
0	2	-10	12	
0	2	-11	13	
0	2	-12	14	
2	2	-11	15	
2	2	-10	16	
0	2	-11	17	
2	2	-10	18	
2	0	-9	17	
2	0	-8	16	
0	2	-9	17	
2	0	-8	16	
0	0	-9	15	
0	0	-10	14	
0	2	-11	15	
4	0	-11	14	
0	0	-12	13	
0	2	-13	14	
2	2	-12	15	
0	0	-13	14	
0	2	-14	15	
2	2	-13	16	
2	0	-12	15	
2	2	-11	16	
0	-1	-12	16	
0	-1	-13	16	
2	2	-12	17	
0	0	-13	16	
0	2	-14	17	
2	2	-13	18	
0	0	-14	17	
2	2	-13	18	
2	-1	-12	18	
2	0	-11	17	
0	2	-12	18	
0	-1	-13	18	
2	0	-12	17	
2	0	-11	16	
0	0	-12	15	
0	2	-13	16	
0	2	-14	17	
2	0	-13	16	
0	0	-14	15	
0	2	-15	16	
0	2	-16	17	
0	2	-17	18	
0	2	-18	19	
0	2	-19	20	
2	2	-18	21	
0	2	-19	22	
2	2	-18	23	
2	2	-17	24	
2	0	-16	23	
2	-1	-15	23	
0	-1	-16	23	
2	0	-15	22	
2	0	-14	21	
2	0	-13	20	
0	2	-14	21	
2	-1	-13	21	
0	0	-14	20	
0	0	-15	19	
2	-1	-14	19	
0	0	-15	18	
2	2	-14	19	
0	0	-15	18	
2	2	-14	19	
0	0	-15	18	
2	0	-14	17	
0	2	-15	18	
0	-1	-16	18	
2	2	-15	19	
0	-1	-16	19	
0	2	-17	20	
2	2	-16	21	
0	0	-17	20	
0	2	-18	21	
2	2	-17	22	
2	0	-16	21	
2	2	-15	22	
2	2	-14	23	
0	0	-15	22	
0	-1	-16	22	
2	0	-15	21	
2	0	-14	20	
0	2	-15	21	
2	2	-14	22	
0	0	-15	21	
2	2	-14	22	
2	-1	-13	22	
2	0	-12	21	
4	2	-12	22	
0	0	-13	21	
0	0	-14	20	
0	0	-15	19	
0	-1	-16	19	
0	2	-17	20	
2	2	-16	21	
0	2	-17	22	
2	2	-16	23	
2	-1	-15	23	
2	0	-14	22	
2	-1	-13	22	
0	0	-14	21	
2	0	-13	20	
0	0	-14	19	
2	0	-13	18	
0	2	-14	19	
0	-1	-15	19	
0	2	-16	20	
2	0	-15	19	
2	0	-14	18	
0	2	-15	19	
0	2	-16	20	
2	2	-15	21	
2	0	-14	20	
2	2	-13	21	
2	2	-12	22	
2	0	-11	21	
2	0	-10	20	
2	0	-9	19	
0	0	-10	18	
2	-1	-9	18	
2	0	-8	17	
2	0	-7	16	
0	-1	-8	16	
0	0	-9	15	
2	0	-8	14	
0	0	-9	13	
2	2	-8	14	
2	2	-7	15	
2	0	-6	14	
0	2	-7	15	
2	2	-6	16	
2	0	-5	15	
0	0	-6	14	
0	2	-7	15	
2	2	-6	16	
0	0	-7	15	
4	2	-7	16	
0	2	-8	17	
2	-1	-7	17	
0	2	-8	18	
2	2	-7	19	
2	0	-6	18	
2	0	-5	17	
2	-1	-4	17	
2	0	-3	16	
0	0	-4	15	
2	2	-3	16	
2	0	-2	15	
0	0	-3	14	
2	2	-2	15	
0	0	-3	14	
2	0	-2	13	
0	0	-3	12	
2	0	-2	11	
2	0	-1	10	
2	0	0	9	
2	0	1	8	
2	0	2	7	
2	0	3	6	
2	0	4	5	
2	0	5	4	
0	0	4	3	
2	2	5	4	
2	0	6	3	
2	0	7	2	
2	2	8	3	
2	-1	9	3	
2	0	10	2	
0	0	9	1	
0	-1	8	1	
0	0	7	0	
2	0	8	-1	
0	2	7	0	
0	2	6	1	
0	2	5	2	
2	2	6	3	
0	2	5	4	
2	2	6	5	
2	2	7	6	
2	0	8	5	
0	2	7	6	
2	2	8	7	
0	0	7	6	
0	0	6	5	
0	2	5	6	
2	0	6	5	
0	2	5	6	
0	2	4	7	
2	2	5	8	
2	0	6	7	
0	2	5	8	
0	2	4	9	
0	0	3	8	
2	0	4	7	
0	2	3	8	
0	2	2	9	
2	2	3	10	
0	0	2	9	
0	2	1	10	
0	2	0	11	
2	0	1	10	
2	-1	2	10	
2	2	3	11	
2	-1	4	11	
4	0	4	10	
0	0	3	9	
2	0	4	8	
0	0	3	7	
2	2	4	8	
0	0	3	7	
2	0	4	6	
0	-1	3	6	
0	0	2	5	
0	2	1	6	
0	-1	0	6	
2	2	1	7	
2	-1	2	7	
0	2	1	8	
2	2	2	9	
0	0	1	8	
2	0	2	7	
2	0	3	6	
2	0	4	5	
2	-1	5	5	
2	0	6	4	
0	0	5	3	
2	0	6	2	
2	0	7	1	
2	0	8	0	
0	-1	7	0	
0	-1	6	0	
0	0	5	-1	
0	0	4	-2	
2	2	5	-1	
2	2	6	0	
2	2	7	1	
4	2	7	2	
