REAL	TEST	0	0
0	2	-1	1	
2	2	0	2	
0	0	-1	1	
2	2	0	2	
0	2	-1	3	
2	0	0	2	
0	2	-1	3	
0	2	-2	4	
4	2	-2	5	
0	0	-3	4	
2	2	-2	5	
0	2	-3	6	
4	0	-3	5	
0	2	-4	6	
2	0	-3	5	
0	2	-4	6	
2	0	-3	5	
0	2	-4	6	
2	0	-3	5	
0	2	-4	6	
2	0	-3	5	
0	2	-4	6	
2	0	-3	5	
0	2	-4	6	
2	0	-3	5	
0	2	-4	6	
0	0	-5	5	
0	2	-6	6	
0	0	-7	5	
0	2	-8	6	
0	2	-9	7	
0	2	-10	8	
0	0	-11	7	
0	2	-12	8	
2	2	-11	9	
2	2	-10	10	
0	2	-11	11	
2	2	-10	12	
2	2	-9	13	
2	0	-8	12	
0	2	-9	13	
2	2	-8	14	
0	0	-9	13	
0	0	-10	12	
0	2	-11	13	
4	0	-11	12	
0	2	-12	13	
0	-1	-13	13	
2	2	-12	14	
0	0	-13	13	
0	2	-14	14	
2	2	-13	15	
2	0	-12	14	
2	2	-11	15	
0	2	-12	16	
0	0	-13	15	
2	2	-12	16	
0	0	-13	15	
0	2	-14	16	
2	2	-13	17	
0	-1	-14	17	
2	0	-13	16	
2	2	-12	17	
2	0	-11	16	
0	2	-12	17	
0	2	-13	18	
2	-1	-12	18	
2	0	-11	17	
0	2	-12	18	
0	2	-13	19	
0	2	-14	20	
2	0	-13	19	
0	2	-14	20	
0	2	-15	21	
0	2	-16	22	
0	0	-17	21	
0	2	-18	22	
0	2	-19	23	
2	2	-18	24	
0	2	-19	25	
2	2	-18	26	
2	2	-17	27	
2	0	-16	26	
2	2	-15	27	
0	2	-16	28	
2	2	-15	29	
2	0	-14	28	
2	0	-13	27	
0	2	-14	28	
2	2	-13	29	
0	0	-14	28	
0	0	-15	27	
2	2	-14	28	
0	0	-15	27	
2	2	-14	28	
0	2	-15	29	
2	0	-14	28	
0	2	-15	29	
2	0	-14	28	
0	2	-15	29	
0	0	-16	28	
2	2	-15	29	
0	2	-16	30	
0	2	-17	31	
2	2	-16	32	
0	-1	-17	32	
0	-1	-18	32	
2	2	-17	33	
2	0	-16	32	
2	2	-15	33	
2	2	-14	34	
0	0	-15	33	
0	2	-16	34	
2	0	-15	33	
2	-1	-14	33	
0	2	-15	34	
2	2	-14	35	
0	0	-15	34	
2	0	-14	33	
2	2	-13	34	
2	0	-12	33	
4	2	-12	34	
0	0	-13	33	
0	2	-14	34	
0	0	-15	33	
0	0	-16	32	
0	2	-17	33	
2	2	-16	34	
0	2	-17	35	
2	2	-16	36	
2	2	-15	37	
2	0	-14	36	
2	2	-13	37	
0	2	-14	38	
2	2	-13	39	
0	2	-14	40	
2	0	-13	39	
0	2	-14	40	
0	0	-15	39	
0	2	-16	40	
2	0	-15	39	
2	2	-14	40	
0	2	-15	41	
0	2	-16	42	
2	2	-15	43	
2	-1	-14	43	
2	-1	-13	43	
2	2	-12	44	
2	0	-11	43	
2	0	-10	42	
2	2	-9	43	
0	0	-10	42	
2	0	-9	41	
2	2	-8	42	
2	0	-7	41	
0	2	-8	42	
0	2	-9	43	
2	-1	-8	43	
0	0	-9	42	
2	0	-8	41	
2	2	-7	42	
2	0	-6	41	
0	2	-7	42	
2	0	-6	41	
2	2	-5	42	
0	0	-6	41	
0	2	-7	42	
2	2	-6	43	
0	2	-7	44	
4	0	-7	43	
0	2	-8	44	
2	0	-7	43	
0	2	-8	44	
2	0	-7	43	
2	2	-6	44	
2	0	-5	43	
2	2	-4	44	
2	0	-3	43	
0	0	-4	42	
2	2	-3	43	
2	0	-2	42	
0	0	-3	41	
2	2	-2	42	
0	0	-3	41	
2	0	-2	40	
0	2	-3	41	
2	0	-2	40	
2	2	-1	41	
2	0	0	40	
2	-1	1	40	
2	0	2	39	
2	0	3	38	
2	0	4	37	
2	-1	5	37	
0	0	4	36	
2	-1	5	36	
2	2	6	37	
2	0	7	36	
2	2	8	37	
2	0	9	36	
2	0	10	35	
0	0	9	34	
0	2	8	35	
0	0	7	34	
2	0	8	33	
0	2	7	34	
0	-1	6	34	
0	2	5	35	
2	0	6	34	
0	2	5	35	
2	0	6	34	
2	2	7	35	
2	0	8	34	
0	2	7	35	
2	-1	8	35	
0	2	7	36	
0	0	6	35	
0	2	5	36	
2	0	6	35	
0	2	5	36	
0	2	4	37	
2	2	5	38	
2	0	6	37	
0	2	5	38	
0	2	4	39	
0	2	3	40	
2	0	4	39	
0	2	3	40	
0	2	2	41	
2	2	3	42	
0	2	2	43	
0	0	1	42	
0	2	0	43	
2	0	1	42	
2	2	2	43	
2	2	3	44	
2	2	4	45	
4	0	4	44	
0	-1	3	44	
2	2	4	45	
0	0	3	44	
2	0	4	43	
0	2	3	44	
2	0	4	43	
0	2	3	44	
0	0	2	43	
0	2	1	44	
0	2	0	45	
2	0	1	44	
2	2	2	45	
0	-1	1	45	
2	2	2	46	
0	2	1	47	
2	0	2	46	
2	2	3	47	
2	0	4	46	
2	2	5	47	
2	0	6	46	
0	0	5	45	
2	2	6	46	
2	0	7	45	
2	0	8	44	
0	2	7	45	
0	2	6	46	
0	-1	5	46	
0	0	4	45	
2	-1	5	45	
2	2	6	46	
2	2	7	47	
4	2	7	48	
