REAL	TEST	0	0
0	0	-1	-1	
2	2	0	0	
0	2	-1	1	
2	0	0	0	
0	2	-1	1	
2	2	0	2	
0	2	-1	3	
0	2	-2	4	
4	2	-2	5	
0	2	-3	6	
2	2	-2	7	
0	2	-3	8	
4	0	-3	7	
0	2	-4	8	
2	2	-3	9	
0	2	-4	10	
2	0	-3	9	
0	2	-4	10	
2	0	-3	9	
0	2	-4	10	
2	2	-3	11	
0	2	-4	12	
2	2	-3	13	
0	2	-4	14	
2	2	-3	15	
0	0	-4	14	
0	2	-5	15	
0	2	-6	16	
0	2	-7	17	
0	2	-8	18	
0	2	-9	19	
0	2	-10	20	
0	2	-11	21	
0	2	-12	22	
2	2	-11	23	
2	2	-10	24	
0	-1	-11	24	
2	2	-10	25	
2	2	-9	26	
2	2	-8	27	
0	2	-9	28	
2	2	-8	29	
0	2	-9	30	
0	2	-10	31	
0	2	-11	32	
4	2	-11	33	
0	0	-12	32	
0	2	-13	33	
2	2	-12	34	
0	2	-13	35	
0	0	-14	34	
2	2	-13	35	
2	0	-12	34	
2	2	-11	35	
0	0	-12	34	
0	2	-13	35	
2	0	-12	34	
0	2	-13	35	
0	2	-14	36	
2	2	-13	37	
0	2	-14	38	
2	0	-13	37	
2	2	-12	38	
2	2	-11	39	
0	2	-12	40	
0	0	-13	39	
2	2	-12	40	
2	2	-11	41	
0	2	-12	42	
0	2	-13	43	
0	-1	-14	43	
2	2	-13	44	
0	2	-14	45	
0	2	-15	46	
0	0	-16	45	
0	2	-17	46	
0	2	-18	47	
0	2	-19	48	
2	2	-18	49	
0	0	-19	48	
2	2	-18	49	
2	2	-17	50	
2	2	-16	51	
2	2	-15	52	
0	0	-16	51	
2	2	-15	52	
2	2	-14	53	
2	2	-13	54	
0	2	-14	55	
2	0	-13	54	
0	2	-14	55	
0	0	-15	54	
2	2	-14	55	
0	2	-15	56	
2	0	-14	55	
0	2	-15	56	
2	2	-14	57	
0	2	-15	58	
2	0	-14	57	
0	2	-15	58	
0	2	-16	59	
2	0	-15	58	
0	2	-16	59	
0	2	-17	60	
2	2	-16	61	
0	0	-17	60	
0	2	-18	61	
2	2	-17	62	
2	2	-16	63	
2	0	-15	62	
2	2	-14	63	
0	0	-15	62	
0	2	-16	63	
2	2	-15	64	
2	2	-14	65	
0	2	-15	66	
2	2	-14	67	
0	2	-15	68	
2	2	-14	69	
2	2	-13	70	
2	0	-12	69	
4	0	-12	68	
0	2	-13	69	
0	0	-14	68	
0	2	-15	69	
0	2	-16	70	
0	2	-17	71	
2	2	-16	72	
0	2	-17	73	
2	2	-16	74	
2	2	-15	75	
2	2	-14	76	
2	0	-13	75	
0	2	-14	76	
2	2	-13	77	
0	2	-14	78	
2	2	-13	79	
0	2	-14	80	
0	0	-15	79	
0	2	-16	80	
2	2	-15	81	
2	2	-14	82	
0	2	-15	83	
0	0	-16	82	
2	2	-15	83	
2	2	-14	84	
2	2	-13	85	
2	2	-12	86	
2	2	-11	87	
2	0	-10	86	
2	2	-9	87	
0	2	-10	88	
2	0	-9	87	
2	2	-8	88	
2	2	-7	89	
0	2	-8	90	
0	-1	-9	90	
2	0	-8	89	
0	2	-9	90	
2	2	-8	91	
2	2	-7	92	
2	2	-6	93	
0	2	-7	94	
2	0	-6	93	
2	2	-5	94	
0	0	-6	93	
0	2	-7	94	
2	2	-6	95	
0	2	-7	96	
4	2	-7	97	
0	2	-8	98	
2	2	-7	99	
0	0	-8	98	
2	2	-7	99	
2	2	-6	100	
2	2	-5	101	
2	0	-4	100	
2	2	-3	101	
0	0	-4	100	
2	0	-3	99	
2	2	-2	100	
0	2	-3	101	
2	2	-2	102	
0	2	-3	103	
2	0	-2	102	
0	2	-3	103	
2	2	-2	104	
2	0	-1	103	
2	2	0	104	
2	2	1	105	
2	0	2	104	
2	2	3	105	
2	2	4	106	
2	0	5	105	
0	2	4	106	
2	0	5	105	
2	2	6	106	
2	2	7	107	
2	2	8	108	
2	0	9	107	
2	2	10	108	
0	0	9	107	
0	2	8	108	
0	2	7	109	
2	2	8	110	
0	2	7	111	
0	2	6	112	
0	2	5	113	
2	0	6	112	
0	2	5	113	
2	2	6	114	
2	2	7	115	
2	2	8	116	
0	2	7	117	
2	2	8	118	
0	0	7	117	
0	2	6	118	
0	0	5	117	
2	2	6	118	
0	0	5	117	
0	2	4	118	
2	2	5	119	
2	2	6	120	
0	2	5	121	
0	0	4	120	
0	2	3	121	
2	2	4	122	
0	2	3	123	
0	2	2	124	
2	0	3	123	
0	2	2	124	
0	2	1	125	
0	2	0	126	
2	2	1	127	
2	2	2	128	
2	2	3	129	
2	2	4	130	
4	0	4	129	
0	2	3	130	
2	2	4	131	
0	2	3	132	
2	2	4	133	
0	0	3	132	
2	2	4	133	
0	2	3	134	
0	0	2	133	
0	2	1	134	
0	2	0	135	
2	2	1	136	
2	2	2	137	
0	2	1	138	
2	0	2	137	
0	2	1	138	
2	2	2	139	
2	2	3	140	
2	2	4	141	
2	0	5	140	
2	-1	6	140	
0	2	5	141	
2	0	6	140	
2	2	7	141	
2	2	8	142	
0	2	7	143	
0	2	6	144	
0	0	5	143	
0	2	4	144	
2	2	5	145	
2	2	6	146	
2	0	7	145	
4	2	7	146	
