REAL	TEST	0	0
0	2	-1	1	
2	2	0	2	
0	2	-1	3	
2	2	0	4	
0	2	-1	5	
2	2	0	6	
0	2	-1	7	
0	2	-2	8	
4	-1	-2	8	
0	2	-3	9	
2	-1	-2	9	
0	2	-3	10	
4	2	-3	11	
0	0	-4	10	
2	2	-3	11	
0	0	-4	10	
2	2	-3	11	
0	2	-4	12	
2	2	-3	13	
0	2	-4	14	
2	2	-3	15	
0	2	-4	16	
2	2	-3	17	
0	2	-4	18	
2	2	-3	19	
0	2	-4	20	
0	2	-5	21	
0	2	-6	22	
0	0	-7	21	
0	2	-8	22	
0	-1	-9	22	
0	2	-10	23	
0	2	-11	24	
0	2	-12	25	
2	2	-11	26	
2	2	-10	27	
0	2	-11	28	
2	2	-10	29	
2	2	-9	30	
2	2	-8	31	
0	2	-9	32	
2	2	-8	33	
0	2	-9	34	
0	2	-10	35	
0	2	-11	36	
4	0	-11	35	
0	2	-12	36	
0	-1	-13	36	
2	2	-12	37	
0	2	-13	38	
0	2	-14	39	
2	0	-13	38	
2	2	-12	39	
2	2	-11	40	
0	2	-12	41	
0	2	-13	42	
2	2	-12	43	
0	2	-13	44	
0	2	-14	45	
2	2	-13	46	
0	2	-14	47	
2	2	-13	48	
2	2	-12	49	
2	2	-11	50	
0	2	-12	51	
0	2	-13	52	
2	2	-12	53	
2	2	-11	54	
0	2	-12	55	
0	2	-13	56	
0	2	-14	57	
2	0	-13	56	
0	0	-14	55	
0	2	-15	56	
0	2	-16	57	
0	-1	-17	57	
0	2	-18	58	
0	2	-19	59	
2	2	-18	60	
0	0	-19	59	
2	2	-18	60	
2	2	-17	61	
2	2	-16	62	
2	2	-15	63	
0	2	-16	64	
2	0	-15	63	
2	-1	-14	63	
2	2	-13	64	
0	2	-14	65	
2	2	-13	66	
0	0	-14	65	
0	2	-15	66	
2	2	-14	67	
0	2	-15	68	
2	2	-14	69	
0	-1	-15	69	
2	2	-14	70	
0	2	-15	71	
2	2	-14	72	
0	2	-15	73	
0	2	-16	74	
2	2	-15	75	
0	2	-16	76	
0	2	-17	77	
2	2	-16	78	
0	0	-17	77	
0	2	-18	78	
2	2	-17	79	
2	0	-16	78	
2	2	-15	79	
2	2	-14	80	
0	-1	-15	80	
0	2	-16	81	
2	2	-15	82	
2	0	-14	81	
0	2	-15	82	
2	2	-14	83	
0	0	-15	82	
2	2	-14	83	
2	2	-13	84	
2	0	-12	83	
4	2	-12	84	
0	2	-13	85	
0	2	-14	86	
0	2	-15	87	
0	2	-16	88	
0	0	-17	87	
2	2	-16	88	
0	2	-17	89	
2	2	-16	90	
2	2	-15	91	
2	2	-14	92	
2	2	-13	93	
0	2	-14	94	
2	2	-13	95	
0	2	-14	96	
2	2	-13	97	
0	2	-14	98	
0	2	-15	99	
0	2	-16	100	
2	0	-15	99	
2	2	-14	100	
0	2	-15	101	
0	2	-16	102	
2	2	-15	103	
2	2	-14	104	
2	2	-13	105	
2	2	-12	106	
2	2	-11	107	
2	2	-10	108	
2	2	-9	109	
0	2	-10	110	
2	2	-9	111	
2	2	-8	112	
2	2	-7	113	
0	2	-8	114	
0	-1	-9	114	
2	-1	-8	114	
0	0	-9	113	
2	2	-8	114	
2	0	-7	113	
2	2	-6	114	
0	-1	-7	114	
2	2	-6	115	
2	0	-5	114	
0	2	-6	115	
0	2	-7	116	
2	2	-6	117	
0	2	-7	118	
4	2	-7	119	
0	2	-8	120	
2	0	-7	119	
0	2	-8	120	
2	2	-7	121	
2	2	-6	122	
2	2	-5	123	
2	2	-4	124	
2	2	-3	125	
0	2	-4	126	
2	2	-3	127	
2	-1	-2	127	
0	-1	-3	127	
2	2	-2	128	
0	2	-3	129	
2	0	-2	128	
0	2	-3	129	
2	2	-2	130	
2	0	-1	129	
2	-1	0	129	
2	-1	1	129	
2	0	2	128	
2	-1	3	128	
2	2	4	129	
2	0	5	128	
0	2	4	129	
2	2	5	130	
2	2	6	131	
2	2	7	132	
2	2	8	133	
2	2	9	134	
2	2	10	135	
0	2	9	136	
0	2	8	137	
0	0	7	136	
2	-1	8	136	
0	-1	7	136	
0	2	6	137	
0	2	5	138	
2	2	6	139	
0	2	5	140	
2	2	6	141	
2	2	7	142	
2	2	8	143	
0	2	7	144	
2	-1	8	144	
0	2	7	145	
0	2	6	146	
0	2	5	147	
2	2	6	148	
0	-1	5	148	
0	2	4	149	
2	2	5	150	
2	0	6	149	
0	2	5	150	
0	2	4	151	
0	2	3	152	
2	0	4	151	
0	-1	3	151	
0	2	2	152	
2	2	3	153	
0	0	2	152	
0	2	1	153	
0	2	0	154	
2	2	1	155	
2	0	2	154	
2	-1	3	154	
2	-1	4	154	
4	0	4	153	
0	2	3	154	
2	0	4	153	
0	2	3	154	
2	2	4	155	
0	-1	3	155	
2	2	4	156	
0	2	3	157	
0	2	2	158	
0	2	1	159	
0	2	0	160	
2	2	1	161	
2	2	2	162	
0	2	1	163	
2	2	2	164	
0	2	1	165	
2	2	2	166	
2	2	3	167	
2	2	4	168	
2	2	5	169	
2	2	6	170	
0	-1	5	170	
2	2	6	171	
2	2	7	172	
2	0	8	171	
0	2	7	172	
0	2	6	173	
0	2	5	174	
0	2	4	175	
2	2	5	176	
2	2	6	177	
2	2	7	178	
4	2	7	179	
